Name ,Locaity,City,No Broker URL,SV
Abhimanshree Society,Baner Road,Pune,https://www.nobroker.in/abhimanshree-society-pashan_pune-prjt-63a95604fd6e3d0001a78207,5400
Varun Garden,manpada,Mumbai,https://www.nobroker.in/varun-garden-thane-west_mumbai-prjt-5e973aa9a5a1662dac0b2774,5400
DSK Madhuban,sakinaka,Mumbai,https://www.nobroker.in/dsk-madhuban--andheri-east_mumbai-prjt-63a95e4e8223f6000123c13f,5400
Nivedita Garden ,NIBM Road,Pune,https://www.nobroker.in/nivedita-garden-bhatnagar-colony_pune-prjt-5ba3f029714b56aa0857493b,5400
Shri Ram Heights,Raj Nagar Extension,Ghaziabad,https://www.nobroker.in/shri-ram-heights-raj-nagar-extension_ghaziabad-prjt-5da448253931e7f57a2d1475,4400
Krrish Provence Estate,Gwal Pahari,Gurgaon,https://www.nobroker.in/krrish-provence-estate-gwal-pahari_gurgaon-prjt-5ba00ebd714b5687a7dc8e23,4400
Aparna Elixir ,Manikonda,Hyderabad,https://www.nobroker.in/aparna-elixir-manikonda_hyderabad-prjt-5d01a7d5714b561a44cbecb1,4400
Sagar Darshan Towers,sector 18a,Mumbai,https://www.nobroker.in/sagar-darshan-towers-sector-18_mumbai-prjt-5bac1ede714b564981dcf858,4400
Kesar Harmony,sector 6,Mumbai,https://www.nobroker.in/kesar-harmony-kharghar_mumbai-prjt-5bac1ede714b564981dcb257,4400
Anant Raj Maceo,Sector 91,Gurgaon,https://www.nobroker.in/anant-raj-maceo-sector-91_gurgaon-prjt-5ba00ebd714b5687a7dc8b07,3600
Judge Colony ,Sector 9 Vaishali,Ghaziabad,https://www.nobroker.in/judge-colony-sector-9_ghaziabad-prjt-5da448253931e7f57a2d0c91,3600
Uninav Bliss,Raj Nagar Extension,Ghaziabad,https://www.nobroker.in/uninav-bliss-raj-nagar-extension_ghaziabad-prjt-63ac0363fb79530001bf6f73,3600
Nyati Emporius,Baner  ,Pune,https://www.nobroker.in/nyati-emporius-baner_pune-prjt-63abe35502e8ea0001d45995,3600
Kumar Purva,Hadapsar,Pune,https://www.nobroker.in/kumar-purva-keshav-nagar_pune-prjt-5ba3f027714b56aa085711a0,3600
Bhumiraj Hermitage,palm beach,Mumbai,https://www.nobroker.in/bhumiraj-hermitage-sanpada_mumbai-prjt-5bac1ede714b564981dcca58,3600
Shreeji Splendor,thane,Mumbai,https://www.nobroker.in/shreeji-splendor-thane-west_mumbai-prjt-615bef5bcb844a00fe6e5ad1,3600
Vraj Green Valley,kolshet,Mumbai,https://www.nobroker.in/vraj-green-valley-thane-west_mumbai-prjt-5bac1ede714b564981dcb2c7,3600
Lumbini SLN Springs,Gachibowli,Hyderabad,https://www.nobroker.in/lumbini-sln-springs-gachibowli_hyderabad-prjt-63aac8a33ffa5400016109b0,2900
Amanora Chambers,Hadapsar,Pune,https://www.nobroker.in/amanora-chambers-hadapsar_pune-prjt-63a957786fd8420001b07b7e,2900
Lunkad Queensland,Viman Nagar Central,Pune,https://www.nobroker.in/lunkad-queensland-viman-nagar_pune-prjt-5e972dfaa5a1662dac0a8e4d,2900
Raheja Sherwood,goregaon east,Mumbai,https://www.nobroker.in/raheja-sherwood-goregaon-east_mumbai-prjt-5bac1ede714b564981dc678f,2900
Cosmos Lounge,manpada,Mumbai,https://www.nobroker.in/cosmos-lounge-thane-west_mumbai-prjt-5bac1ede714b564981dcb2c3,2900
Unitech Cascades,Sector Pi 2,Noida,https://www.nobroker.in/unitech-cascades-pi-i-&-ii_greater_noida-prjt-5da447b8f62b7e9961d6f905,1900
Primus Epsilon ,Kompally,Hyderabad,https://www.nobroker.in/primus-epsilon--kompally-hyderabad_hyderabad-prjt-5d01a7d5714b561a44cbedd5,1900
Gayathri Enclave,Miyapur,Hyderabad,https://www.nobroker.in/gayathri-enclave--miyapur_hyderabad-prjt-5ba1bad8714b56945b4715c7,1900
Amar Courtyards ,Hadapsar,Pune,https://www.nobroker.in/amar-courtyards-hadapsar_pune-prjt-5ba3f027714b56aa08571b44,1900
Urban Balance ,Hadapsar,Pune,https://www.nobroker.in/urban-balance-hadapsar_pune-prjt-5ba3f027714b56aa08570a5d,1900
Praneeth Pranav Gems,Mallampet,Hyderabad,https://www.nobroker.in/praneeth-pranav-gems-mallampet_hyderabad-prjt-5d01a7d5714b561a44cbea7b,1600
Amanora Future Towers,Amanora Park Town,Pune,https://www.nobroker.in/amanora-future-towers-hadapsar-pune_pune-prjt-5ba3f027714b56aa0857114c,1600
Snr White Petals,whitefield,Bangalore,https://www.nobroker.in/snr-white-petals-whitefield_bangalore-prjt-5ba009ad714b56810576194d,1600
Alpha Residences,Sector 150,Noida,https://www.nobroker.in/alpha-residences-sector-150_noida-prjt-63a9576dfd6e3d0001a7aecc,1000
Ravinanda Trinity ,Wagholi,Pune,https://www.nobroker.in/ravinanda-trinity-wagholi-pune_pune-prjt-5ba3f027714b56aa08570f8e,1000
